State,Pin Code,Sub District,seller_type,layout_type,furnish_type,floors,bathrooms,bedroom,Waterfront_View,Condition of the House,car_parking,grade,area_basement,living_area,price
Uttar Pradesh,212303,Meja,1,1,1,1,1,2,0,1,0,7,0,1140,20000
Uttar Pradesh,231213,Robertsganj,1,1,1,2,2,2,0,1,0,7,400,840,8000
Uttar Pradesh,227812,Sultanpur,1,1,1,1,1,2,0,1,0,6,0,1000,21000
Uttar Pradesh,247775,Shamli,1,1,1,1,3,1,0,3,0,7,910,550,9000
Uttar Pradesh,273001,Sahjanwa,1,1,2,1,2,3,0,1,0,8,0,1230,17000
Uttar Pradesh,221101,Pindra,1,1,1,1,5,3,0,1,0,11,1530,1200,14000
Uttar Pradesh,221001,Varanasi,1,1,1,2,2,3,0,1,0,7,0,1650,23000
Uttar Pradesh,221002,Varanasi,1,1,1,1,2,1,0,1,0,7,0,550,8000
Uttar Pradesh,221002,Varanasi,1,1,0,1,1,1,0,1,0,7,730,500,5000
Uttar Pradesh,221002,Varanasi,1,1,1,2,3,2,0,1,0,7,0,1260,10000
Uttar Pradesh,225301,Nawabganj,1,1,1,1,3,1,0,1,0,8,1700,500,9500
Assam,782121,Bhuragaon,1,1,1,1,1,2,0,2,0,7,300,1000,14000
Bihar,841508,Vijayeepur,1,1,1,2,1,1,0,2,0,7,0,500,8000
Karnataka,587114,Badami,1,0,0,1,2,1,0,2,0,7,0,400,4000
Karnataka,587155,Badami,1,1,1,2,2,2,0,1,0,7,0,1175,31000
Karnataka,587155,Badami,1,1,1,2,3,2,0,1,0,9,970,1200,9500
Karnataka,587201,Badami,1,1,1,2,2,4,0,1,0,7,0,5121,250000
Karnataka,587203,Badami,1,1,1,2,1,3,0,2,0,7,0,1600,23000
Karnataka,587206,Badami,1,1,1,1,1,2,0,2,0,7,0,1500,16000
Karnataka,587206,Badami,1,1,2,1,1,2,0,2,0,7,0,1260,22000
Karnataka,587206,Badami,1,1,1,1,2,2,0,2,0,7,760,600,10000
Karnataka,587102,Bagalkot,1,1,1,1,3,2,0,1,0,9,720,850,12000
Karnataka,587207,Bagalkot,1,1,1,2,3,1,0,1,0,8,0,1200,9000
Karnataka,587207,Bagalkot,1,1,1,1,2,1,0,1,0,7,0,500,11000
Karnataka,587118,Hungund,1,1,1,2,2,1,0,2,0,8,0,600,8000
Karnataka,587118,Hungund,1,1,0,2,2,1,0,3,0,6,0,1200,8000
Karnataka,587124,Hungund,1,1,1,2,2,3,0,1,0,8,700,1414,23900
Karnataka,587124,Hungund,1,1,2,2,1,2,0,3,0,8,0,1126,24500
Karnataka,587125,Hungund,1,1,1,1,2,2,0,1,0,7,730,600,12500
Karnataka,587125,Hungund,1,0,0,2,3,1,0,1,0,8,0,1500,99500
Karnataka,587125,Hungund,1,1,1,2,3,3,0,1,0,8,0,900,12000
Karnataka,587125,Hungund,1,1,1,3,2,1,0,1,0,7,0,800,15000
Karnataka,587125,Hungund,1,0,1,2,2,1,0,2,0,7,820,600,13500
Karnataka,587125,Hungund,1,1,1,2,1,2,0,2,0,8,0,1150,21000
Karnataka,587154,Hungund,1,1,0,1,3,2,0,1,0,7,780,1000,13000
Karnataka,587202,Hungund,1,0,1,2,3,1,0,1,0,8,790,200,4500
Karnataka,586125,Jamakhandi,1,1,0,1,1,2,0,4,0,5,730,650,9000
Karnataka,587314,Jamakhandi,1,0,0,2,2,1,0,2,0,8,0,150,3500
Karnataka,587315,Jamakhandi,1,1,2,1,1,2,0,0,0,7,330,700,12000
Karnataka,587315,Jamakhandi,1,1,1,2,3,2,0,1,0,8,0,1190,14000
Karnataka,587315,Jamakhandi,1,1,1,2,3,1,0,1,0,9,0,600,7000
Karnataka,587122,Mudhol,1,1,1,1,2,2,0,1,0,8,1620,1050,20000
Karnataka,587313,Mudhol,1,1,1,2,3,2,0,1,0,9,0,550,12500
Karnataka,587313,Mudhol,1,1,1,2,1,1,0,1,0,7,0,720,19000
Karnataka,587313,Mudhol,1,1,2,1,1,2,0,2,0,6,360,1100,25000
Karnataka,583214,Hadagali,1,1,1,2,3,2,0,1,0,8,0,1250,21000
Karnataka,583216,Hadagali,1,1,2,1,1,4,0,1,0,6,0,6400,65000
Karnataka,583219,Hadagali,1,1,1,2,3,2,0,2,0,9,0,1100,16500
Karnataka,583219,Hadagali,1,1,1,1,2,1,0,2,0,7,0,690,9000
Karnataka,583219,Hadagali,1,0,2,1,3,1,1,3,1,9,588,255,6000
Karnataka,583219,Hadagali,1,1,1,1,1,2,0,1,0,7,0,1000,18000
Karnataka,583219,Hadagali,1,1,1,1,3,2,0,2,0,8,1510,1096,16000
Karnataka,583219,Hadagali,1,1,1,1,2,2,0,2,0,7,410,700,15000
Karnataka,583219,Hadagali,1,1,1,1,2,1,0,1,0,7,990,660,8000
Karnataka,583220,Hadagali,1,1,1,2,2,1,0,1,0,8,600,600,11000
